,sentence,Serbian,backtrans
0,The war cry for justice was all over - Much to the chagrin of the authorities.,Ратни крик за правду је био све више - много на пожаре власти. ,The war cry for justice was more and more - a lot on the fire. 
1,The regime's decision adumbrates the underlying agenda.,Одлука режима алуминирајући основни дневни ред. ,The decision of the regime aluminating the basic agenda. 
2,The community was anxious over the passing of the much needed reforms.,Заједница је била забринута због преношења много потребних реформи. ,The community was worried about the transfer of many necessary reforms. 
3,The think tank  published a paper outlining their apology of capital punishment.,Резервоар за размишљање објавио је папир који је износио њихово извињење смртне казне. ,The recent tank announced paper that amounted to their apology to the death penalty. 
4,Aught was left of the petition's validity,Остало је остало од ваљаности петиције ,The rest is left of the validity of the petition 
5,The President exhorted his ministers to buckle up as key opposition support for his economic plan was about to buckle.,Председник је своје министре подржало да се копа као кључна подршка опозиције за његов економски план спрема се да се копче. ,"The President supported his ministers to dig as the key support of the opposition for his economic plan, it is prepared to clasp. "
6,The voters were chuffed to see the bill passed.,Бирачи су били утечени да виде рачун прођеног. ,The voters were stretched to see the account of the prone. 
7,The lawyer's discursive narration swayed the jury.,Дискурзивна приповиједа адвоката залагао је пороту. ,The discursive story of a lawyer advocated the jury. 
8,The court enjoined the violence!,Суд је уживао насиље! ,The court enjoyed violence! 
9,The EU block opposed an eventual imposition of anti-dumping measures.,Блок ЕУ успротивио се евентуалном изрицању мера против дампинга. ,The EU block opposed the eventual imposition of measures against Damping. 
10,A fulsome eulogy was delivered by the sly counsel.,Пуно је доставио фулсоме еулогију. ,He delivered Fulse Eologio a lot. 
11,The gig-economy agency decided to garnish the refunds!,Агенција за Гиг-Ецономи одлучила је да украде поврат новца! ,Gig-Economi Agency decided to steal a refund! 
12,Members of the anti-theocratic revolutionary movement overthrew the peers in power!,Чланови антитеократског револуционарног покрета срушили су вршњаке на власти! ,The members of the Antiteocratic Revolutionary Movement crashed peers in power! 
13,The traitors disappointingly decided to fight with the colonialists.,Издајници су разочаравајуће одлучили да се боре са колонијалистима. ,The traitors decided to fight colonists. 
