,sentence,Sesotho,backtrans
0,The war cry for justice was all over - Much to the chagrin of the authorities.,Ho lla ha ntoa bakeng sa toka ho ne ho felile - haholo ho ba boholong. ,Warning of war for justice was over - especially to authorities. 
1,The regime's decision adumbrates the underlying agenda.,Qeto ea puso ea puso e latela motheo o ka tlase. ,Government government's decision follows the base below. 
2,The community was anxious over the passing of the much needed reforms.,Sechaba se ne se tšoenyehile ka ho feta liphetoho tse hlokahalang haholo. ,The public was more disturbed than most needed changes. 
3,The think tank  published a paper outlining their apology of capital punishment.,Tanka e nahanang e phatlalalitse pampiri e hlalosang tšoarelo ea bona ea kotlo ea capital. ,The imaginary tank declared a paper that describes their capital punishment. 
4,Aught was left of the petition's validity,E ile ea siuoa ke ho nepahala ha kopo ,Was left by the accuracy of the application 
5,The President exhorted his ministers to buckle up as key opposition support for his economic plan was about to buckle.,Mopresidente o ile a khothatsa basebeletsi ba hae hore ba hlahelle hore na morero oa hae oa khanyetso o ne o le haufi le ho khopisa. ,The President encouraged his ministers to appear in his intention of opposition from offensive. 
6,The voters were chuffed to see the bill passed.,Bavota ba ile ba nyahama ho bona bili e fetile. ,The Repentances became discouraged to see the bill past. 
7,The lawyer's discursive narration swayed the jury.,Ho na le thuto ea molao ea ramolao e halikiloeng lekhotla. ,There is a legal legislative legislative education. 
8,The court enjoined the violence!,Lekhotla le ne le na le pefo! ,The court had violence! 
9,The EU block opposed an eventual imposition of anti-dumping measures.,EU block e hanyetsanang le ho khethoa ka nako ea mehato e thibelang. ,A resistance block and appointment in time for prevents. 
10,A fulsome eulogy was delivered by the sly counsel.,Ho ile ha fanoa ka thuto e matla ea bohlokoa ke khalemelo e makatsang. ,A powerful lesson was given by a strange reproof. 
11,The gig-economy agency decided to garnish the refunds!,Setsi sa moruo sa Gig -y se nkile qeto ea ho khabisa likhakanyo! ,Gig -y Economic Center decided to decorate the attachments! 
12,Members of the anti-theocratic revolutionary movement overthrew the peers in power!,Litho tsa moano tsa anti-thuto ea thuto ea puso ea Molimo li ne li lelekisitse lithaka ka matla! ,Members of an Anti-Study Study Study Was Strong Peer! 
13,The traitors disappointingly decided to fight with the colonialists.,Basomi ba sohloang ke qeto ea ho loana le bokolo-pele. ,Decocified ridgers is a decision to fight with shortness. 
