,sentence,Sundanese,backtrans
0,The war cry for justice was all over - Much to the chagrin of the authorities.,Perang ceurik pikeun kaadilan mah sadayana - seueur ka chagrin tina otoritas. ,The battle cry for justice my all - many to chagrin from authority. 
1,The regime's decision adumbrates the underlying agenda.,Kaputusan ngeunaan Adumbrates Agenda Intrending. ,Decisions about adumbrates intrending agenda. 
2,The community was anxious over the passing of the much needed reforms.,Komunitas éta hariwang kana anu ngaliwat pembaharuan anu langkung seueur. ,The community was worried about that through the reforms of more. 
3,The think tank  published a paper outlining their apology of capital punishment.,Pikir taksan diterbitkeun kertas anu ngémutan hapunten ieu hukuman. ,Thinking Needle published paper that expresses this apology. 
4,Aught was left of the petition's validity,Aught tinggaleun validitas petisi ,Aught left the validity of the petition 
5,The President exhorted his ministers to buckle up as key opposition support for his economic plan was about to buckle.,Présidén ngangkat mentega pikeun ngaitkeun salaku dukungan opision konci pikeun rencana ékonomi ieu ngeunaan ngaitkeun. ,President raising butter to associate as a key oposion support for this economic plan about associated. 
6,The voters were chuffed to see the bill passed.,Pamilih anu dicét ningali tagihan éta. ,The painted voters see that bill. 
7,The lawyer's discursive narration swayed the jury.,Rapat Pesawat Pengacara ngagabungkeun juri. ,Attorney Meeting Complain jury. 
8,The court enjoined the violence!,Pengadilan ngalestarikeun kekerasan! ,The court preserves violence! 
9,The EU block opposed an eventual imposition of anti-dumping measures.,Eu Blok Luyu anu paling saeutik imposisi anti ukuran anti dumping. ,EU Block appropriate the least anti-dumping anti-sized imposition. 
10,A fulsome eulogy was delivered by the sly counsel.,Angsir avalfah dikirim ku pédah sly. ,Angser Avalfah sent by hard Sly. 
11,The gig-economy agency decided to garnish the refunds!,Badan Gig-Ékonomi mutuskeun pikeun Balik deui Balik deui! ,Gig-economic body decided to go back back! 
12,Members of the anti-theocratic revolutionary movement overthrew the peers in power!,Gerbangan intervolusi antiomposik ,The intervocical intervocessine departure 
13,The traitors disappointingly decided to fight with the colonialists.,Bédana nguciwakeun mutuskeun tarung sareng kolonial. ,Different differences decide to fight with colonials. 
