,sentence,Swedish,backtrans
0,The war cry for justice was all over - Much to the chagrin of the authorities.,Krigskriget för rättvisa var över - mycket till myndigheternas chagrin. ,The war of justice was over - much to the authorities' chagrin. 
1,The regime's decision adumbrates the underlying agenda.,Regimens beslut adumberar den underliggande agendan. ,The regime's decision adumbs the underlying agenda. 
2,The community was anxious over the passing of the much needed reforms.,Gemenskapen var angelägen om övergången av de välbehövliga reformerna. ,The Community was keen on the transition of the much needed reforms. 
3,The think tank  published a paper outlining their apology of capital punishment.,Tänktanken publicerade ett papper som beskriver sin ursäkt för dödsstraff. ,The thinking of a paper describing his apology for the death penalty. 
4,Aught was left of the petition's validity,Aught var kvar av framställas giltighet ,Aught was left of produced validity 
5,The President exhorted his ministers to buckle up as key opposition support for his economic plan was about to buckle.,Presidenten uppmanade sina ministrar att spänna upp som ett viktigt oppositionsstöd för sin ekonomiska plan var på väg att spänna. ,The president urged his ministers to buckle up as an important opposition support for its economic plan was about to span. 
6,The voters were chuffed to see the bill passed.,Väljarna chuffed för att se räkningen passerade. ,Voters chuffed to see the bill passed. 
7,The lawyer's discursive narration swayed the jury.,Advokatens diskursiva berättelse svängde juryn. ,The attorney's discursive story swung the jury. 
8,he court enjoined the violence!,Han domstolen innebar våldet! ,He court meant the violence! 
9,The EU block opposed an eventual imposition of anti-dumping measures.,EU-blocket motsatte sig en eventuell införande av antidumpningsåtgärder. ,The EU block opposed the possible introduction of anti-dumping measures. 
10,A fulsome eulogy was delivered by the sly counsel.,En fulsome eulogy levererades av Sly Counsel. ,A Fulsome Eulogy was supplied by Sly Counsel. 
11,The gig-economy agency decided to garnish the refunds!,Gig-Economy-byrån bestämde sig för att garnera återbetalningarna! ,The Gig Economy Agency decided to garnish the refunds! 
12,Members of the anti-theocratic revolutionary movement overthrew the peers in power!,Medlemmar av den anti-teokratiska revolutionära rörelsen omkastade kamraterna i makten! ,Members of the anti -ectious revolutionary movement reversed the comrades in power! 
13,The traitors disappointingly decided to fight with the colonialists.,Förrädarna bestämde sig för att kämpa med kolonialisterna. ,The traitors decided to fight with the colonialists. 
