,sentence,Swahili,backtrans
0,The war cry for justice was all over - Much to the chagrin of the authorities.,Kilio cha vita kwa haki kilikuwa kikubwa sana kwa gharia ya mamlaka. ,The cry of war fairly was very large for the Gharia of Authority. 
1,The regime's decision adumbrates the underlying agenda.,Uamuzi wa utawala unachukua ajenda ya msingi. ,The decision of the administration takes the basic agenda. 
2,The community was anxious over the passing of the much needed reforms.,Jumuiya ilikuwa na wasiwasi juu ya kupita kwa mageuzi yaliyohitajika. ,The community was concerned about the passing of the necessary reforms. 
3,The think tank  published a paper outlining their apology of capital punishment.,Tank ya kufikiri ilichapisha karatasi kuelezea msamaha wao wa adhabu ya kifo. ,The thinking tank published a paper to describe their death penalty. 
4,Aught was left of the petition's validity,Aught alisalia uhalali wa ombi. ,Augght left the validity of the request. 
5,The President exhorted his ministers to buckle up as key opposition support for his economic plan was about to buckle.,Rais aliwahimiza mawaziri wake kupigia kama msaada muhimu wa upinzani kwa mpango wake wa kiuchumi ulikuwa juu ya buckle. ,The President urged his ministers to ring as a key resistance to his economic plan was on buckle. 
6,The voters were chuffed to see the bill passed.,Wapiga kura walipigwa ili kuona muswada huo ulipitishwa. ,Voters were beaten to see the bill was passed. 
7,The lawyer's discursive narration swayed the jury.,Hadithi ya mbuzi ya mwanasheria ilipigwa jury. ,The story of a lawyer's story was beaten jury. 
8,he court enjoined the violence!,Mahakama imeamuru vurugu! ,The court has ordered violence! 
9,The EU block opposed an eventual imposition of anti-dumping measures.,Uzuiaji wa EU ulipinga kuagizwa kwa mwisho kwa hatua za kupambana na kutupa. ,EU block resisted the end of the end to the anti-throw action. 
10,A fulsome eulogy was delivered by the sly counsel.,Eulogy ya fulsome ilitolewa na shauri la sly. ,The fulsome eulogy was released by Sly's counsel. 
11,The gig-economy agency decided to garnish the refunds!,Shirika la gig-uchumi liliamua kuvaa marejesho! ,Gig-economy decided to wear restoration! 
12,Members of the anti-theocratic revolutionary movement overthrew the peers in power!,Wanachama wa harakati ya kupambana na kiteokrasi ya mapinduzi yaliwaangamiza wenzao kwa nguvu! ,Members of the anti-guardian movement of the revolution destroyed their counterparts! 
13,The traitors disappointingly decided to fight with the colonialists.,Wasanii wameamua kupigana na wasoloni. ,Artists have decided to fight with the archives. 
