,sentence,Tamil,backtrans
0,The war cry for justice was all over - Much to the chagrin of the authorities.,நீதிக்கான போர் அழுகை அனைத்துமே முடிந்துவிட்டது - அதிகாரிகளின் குழப்பம். ,The cry of justice is all over - the confusion of the authorities. 
1,The regime's decision adumbrates the underlying agenda.,ஆட்சியின் முடிவு அடிப்படை நிகழ்ச்சி நிரலை மதிப்பிடுகிறது. ,The end of the rule estimates the basic agenda. 
2,The community was anxious over the passing of the much needed reforms.,சமூகம் மிகவும் தேவையான சீர்திருத்தங்களை கடந்து செல்லும் போது ஆர்வமாக இருந்தது. ,The community was eager when passing the necessary reforms. 
3,The think tank  published a paper outlining their apology of capital punishment.,சிந்தனையான தொட்டி ஒரு மரணம் தண்டனையை மன்னிப்புக் காட்டிய ஒரு காகிதத்தை வெளியிட்டது. ,The thoughtful tank released a paper for a death punishment. 
4,Aught was left of the petition's validity,மனுவை செல்லுபடியாகும் விட்டுச் சென்றது ,Left the petition of petition 
5,The President exhorted his ministers to buckle up as key opposition support for his economic plan was about to buckle.,ஜனாதிபதி தனது பொருளாதாரத் திட்டத்திற்கான முக்கிய எதிர்ப்பு ஆதரவாக கொக்கி தனது அமைச்சர்களை அறிவித்தார். ,The president announced his ministers in favor of the major opposition for its economic plan. 
6,The voters were chuffed to see the bill passed.,வாக்காளர்கள் மசோதாவை நிறைவேற்றுவதைப் பார்க்க முடக்கப்பட்டனர். ,The voters were disabled to see the bill. 
7,The lawyer's discursive narration swayed the jury.,வழக்கறிஞரின் வெற்றிகரமான கதை நீதிபதியை நீக்கியது. ,The lawyer's successful story removed the judge. 
8,The court enjoined the violence!,நீதிமன்றம் வன்முறையை கட்டளையிட்டது! ,The court ordered violence! 
9,The EU block opposed an eventual imposition of anti-dumping measures.,ஐரோப்பிய ஒன்றியத் தடுப்பு நடவடிக்கைகளை ஒரு இறுதி நடவடிக்கைகளை சுமத்தியது. ,The EU preventive measures imposed a final operation. 
10,A fulsome eulogy was delivered by the sly counsel.,ஒரு fulsome eulogy sly ஆலோசனை மூலம் வழங்கப்பட்டது. ,Provided by a fulsome eulogy sly advice. 
11,The gig-economy agency decided to garnish the refunds!,கிக்-பொருளாதாரம் ஏஜென்சி பணத்தை திருப்பிச் செலுத்துவதற்கு முடிவு செய்தார்! ,Kick-Economy Agency decided to repay money! 
12,Members of the anti-theocratic revolutionary movement overthrew the peers in power!,எதிர்ப்பு தேவராஜ்-எதிர்ப்பு புரட்சிகர இயக்கத்தின் உறுப்பினர்கள் அதிகாரத்தில் சகாக்களைப் புரிந்துகொள்கிறார்கள்! ,Members of the anti-devastig-revolutionary movement understands the colleagues in power! 
13,The traitors disappointingly decided to fight with the colonialists.,துரோகிகள் ஏமாற்றமளிக்கும் காலனித்துவவாதிகளுடன் போராட முடிவு செய்தனர். ,The traitors decided to fight with disappointing colonists. 
