,sentence,Telugu,backtrans
0,The war cry for justice was all over - Much to the chagrin of the authorities.,న్యాయం కోసం యుద్ధం కేకలు - అధికారుల ఆగ్రహిన్ చాలా ఎక్కువ. ,Battle for justice - Arrhinin of the authorities is much higher. 
1,The regime's decision adumbrates the underlying agenda.,పాలన యొక్క నిర్ణయం అంతర్లీన ఎజెండాను కలిగి ఉంటుంది. ,The decision of the rule consists of the underlying agenda. 
2,The community was anxious over the passing of the much needed reforms.,చాలా అవసరమైన సంస్కరణల ప్రయాణిస్తున్నప్పుడు సమాజం ఆత్రుతగా ఉంది. ,The society is anxious when traveling to the most necessary reforms. 
3,The think tank  published a paper outlining their apology of capital punishment.,థింక్ ట్యాంక్ ఒక కాగితాన్ని ప్రతిబింబించేలా పేర్కొంది. ,Think Tank stated to reflect a paper. 
4,Aught was left of the petition's validity,ఎన్నడూ పిటిషన్ యొక్క ప్రామాణికత వదిలివేయబడింది ,Has never left the authenticity of the petition 
5,The President exhorted his ministers to buckle up as key opposition support for his economic plan was about to buckle.,అధ్యక్షుడు తన మంత్రులు తన ఆర్థిక ప్రణాళికకు కీలక వ్యతిరేక మద్దతుతో కట్టుబడి ఉండటం వలన కట్టుతో ఉంటుంది. ,The President will be buckled with his ministers to be committed to the keyword support for his financial plan. 
6,The voters were chuffed to see the bill passed.,బిల్లు ఆమోదించినట్లు ఓటర్లు చఫుతారు. ,The voters are filled as the bill passed. 
7,The lawyer's discursive narration swayed the jury.,న్యాయవాది యొక్క పునరావృత కథ జ్యూరీని విడిచిపెట్టాడు. ,The lawyer's repeated story left the jury. 
8,he court enjoined the violence!,అతను హింసను హింసను ఆదేశించాడు! ,He ordered violence violence! 
9,The EU block opposed an eventual imposition of anti-dumping measures.,EU బ్లాక్ వ్యతిరేక డంపింగ్ చర్యల యొక్క చివరకు విధించబడుతుంది. ,EU is finally imposed of anti-black dumping actions. 
10,A fulsome eulogy was delivered by the sly counsel.,ఒక fulsome eulogy sly న్యాయవాది పంపిణీ చేశారు. ,A fulsome eulogy sly has been delivered to the lawyer. 
11,The gig-economy agency decided to garnish the refunds!,గిగ్-ఎకానమీ ఏజెన్సీ వాపసులను అలంకరించాలని నిర్ణయించుకుంది! ,Gig-Economy Agency decided to decorate refunds! 
12,Members of the anti-theocratic revolutionary movement overthrew the peers in power!,వ్యతిరేక దైవిక రివల్యూషనరీ ఉద్యమం యొక్క సభ్యులు పవర్ లో పీర్లను పడగొట్టారు! ,Members of the anti-divine revolutionary movement have been dropped peers in the power! 
13,The traitors disappointingly decided to fight with the colonialists.,దురాక్రమణదారులు నిరాశకులకు పోరాడాలని నిర్ణయించుకున్నారు. ,Aggressors decided to fight frees. 
