,sentence,Thai,backtrans
0,The war cry for justice was all over - Much to the chagrin of the authorities.,สงครามร้องไห้เพื่อความยุติธรรมนั้นทั่ว - มากไปถึงความผิดปกติของเจ้าหน้าที่ ,The war is crying for that justice. - Much to the abnormalities of the staff. 
1,The regime's decision adumbrates the underlying agenda.,การตัดสินใจของระบอบการปกครองของระบอบการปกครองของระบอบประกันวาระที่สำคัญ ,The decision of the regime of the regime of the insurance system is important. 
2,The community was anxious over the passing of the much needed reforms.,ชุมชนกังวลเกี่ยวกับการผ่านการปฏิรูปที่จำเป็นมาก ,The community is concerned about through a very necessary reform. 
3,The think tank  published a paper outlining their apology of capital punishment.,Think Tank ตีพิมพ์กระดาษโดยสรุปคำขอโทษของการลงโทษทุน ,Think Tank published a paper by summarizing the apology of the capital punishment. 
4,Aught was left of the petition's validity,Aught ถูกทิ้งให้อยู่ในความถูกต้องของคำร้อง ,August was left in the accuracy of the petition. 
5,The President exhorted his ministers to buckle up as key opposition support for his economic plan was about to buckle.,ประธานาธิบดีเตือนสติรัฐมนตรีของเขาให้หัวเข็มขัดเป็นฝ่ายค้านฝ่ายค้านที่สำคัญสำหรับแผนเศรษฐกิจของเขากำลังจะต้องหัวเข็มขัด ,The president warns his minister to the buckle as an opposition opposition. The major opposition for his economic plan is about to buckle. 
6,The voters were chuffed to see the bill passed.,ผู้มีสิทธิเลือกตั้งถูก chuffed เพื่อดูการเรียกเก็บเงินผ่านไป ,The voters were chuffed to see the bill. 
7,The lawyer's discursive narration swayed the jury.,การเล่าเรื่องที่ไม่เห็นทึกของทนายความดังกล่าวดึงดูดคณะลูกขุน ,"Stories not told by such lawyers, attracting jury. "
8,The court enjoined the violence!,ศาลสั่งสอนความรุนแรง! ,The court preached violence! 
9,The EU block opposed an eventual imposition of anti-dumping measures.,บล็อกของสหภาพยุโรปคัดค้านการกำหนดมาตรการป้องกันการทุ่มตลาดในที่สุด ,The European Union blog opposes the defining measures to prevent dumping in the end. 
10,A fulsome eulogy was delivered by the sly counsel.,Eulogy ที่เต็มไปด้วยการให้คำแนะนำ SLY ,Eulogy that is full of slye advice 
11,The gig-economy agency decided to garnish the refunds!,หน่วยงาน Gig-Economy ตัดสินใจที่จะตกแต่งเงินคืน! ,Gig-Economy Agency Decided to decorate the money back! 
12,Members of the anti-theocratic revolutionary movement overthrew the peers in power!,สมาชิกของขบวนการปฏิวัติต่อต้านทวีษฐานโค่นล้มเพื่อนในอำนาจ! ,Members of the revolutionary revolutionary constituent top-topping friends in power! 
13,The traitors disappointingly decided to fight with the colonialists.,ผู้ทรยศตัดสินใจที่จะต่อสู้กับอาณานิคมอย่างผิดหวัง ,The traitor decided to fight with the colonies disappointed. 
