,sentence,Tagalog,backtrans
0,The war cry for justice was all over - Much to the chagrin of the authorities.,Ang digmaan ay sumisigaw para sa katarungan ay lahat - magkano sa kabiguan ng mga awtoridad. ,The war shouts for justice is all - much in the failure of the authorities. 
1,The regime's decision adumbrates the underlying agenda.,Ang desisyon ng rehimen ay nagmumula sa pinagbabatayan na adyenda. ,The regime's decision comes from the underlying agenda. 
2,The community was anxious over the passing of the much needed reforms.,Ang komunidad ay nababalisa sa paglipas ng maraming kinakailangang reporma. ,The community is anxious over many required reforms. 
3,The think tank  published a paper outlining their apology of capital punishment.,Ang Think Tank ay naglathala ng isang papel na binabalangkas ang kanilang paghingi ng tawad ng parusang kamatayan. ,The Think Tank publishes a paper that outlines their apology for the death penalty. 
4,Aught was left of the petition's validity,Ang aught ay naiwan sa bisa ng petisyon ,Aught is left in effect of petition 
5,The President exhorted his ministers to buckle up as key opposition support for his economic plan was about to buckle.,Pinayuhan ng Pangulo ang kanyang mga ministro upang mabaluktot bilang pangunahing pagsuporta sa pagsalungat para sa kanyang pang-ekonomiyang plano ay tungkol sa buckle. ,The President advised his ministers to curl as the main support of the opposition for his economic plan was about the buckle. 
6,The voters were chuffed to see the bill passed.,Ang mga botante ay napigilan upang makita ang bill na lumipas. ,The voters were prevented to see the bill passed. 
7,The lawyer's discursive narration swayed the jury.,Ang discursive na pagsasalaysay ng abogado ay lumipat sa hurado. ,The discursive narration of the attorney has moved to the jury. 
8,he court enjoined the violence!,Inutusan niya ang korte sa karahasan! ,He instructed the Court to violence! 
9,The EU block opposed an eventual imposition of anti-dumping measures.,Ang block ng EU ay sumasalungat sa isang huling pagpapataw ng mga hakbang sa anti-paglalaglag. ,The EU block conflicts with a last imposition of anti-dumping steps. 
10,A fulsome eulogy was delivered by the sly counsel.,Ang isang ganap na papuri ay inihatid ng payo. ,A full compliment is delivered by advice. 
11,The gig-economy agency decided to garnish the refunds!,Ang Gig-Economy Agency ay nagpasya na palamuti ang mga refund! ,The Gig-Economy Agency decided to decorate the refunds! 
12,Members of the anti-theocratic revolutionary movement overthrew the peers in power!,Ang mga miyembro ng anti-teokratikong rebolusyonaryong kilusan ay nagbagsak sa mga kapantay sa kapangyarihan! ,Members of the Anti-Theocratic revolutionary movement have fallen into power peers! 
13,The traitors disappointingly decided to fight with the colonialists.,Ang mga traitors ay nagpasya na makipaglaban sa mga kolonyalista. ,Traitors have decided to fight with colonialists. 
