,sentence,Ukrainian,backtrans
0,The war cry for justice was all over - Much to the chagrin of the authorities.,Війна крик за справедливість була повна - велика до Шагрина влади. ,The war cry for justice was full - great to Shagrive of power. 
1,The regime's decision adumbrates the underlying agenda.,"Рішення режиму, що підтримує основний порядок денний. ",Solutions of the regime supporting the main agenda. 
2,The community was anxious over the passing of the much needed reforms.,Спільнота була стурбована проходженням багато необхідних реформ. ,The community was worried about the passage of many necessary reforms. 
3,The think tank  published a paper outlining their apology of capital punishment.,"Думкий танк опублікував папір, що висвітлює свої вибачення капітального покарання. ",The opinion of the Tank published the paper that highlights its apologies to capital punishment. 
4,Aught was left of the petition's validity,Aught залишилося від достовірності петиції ,Aught left from the reliability of the petition 
5,The President exhorted his ministers to buckle up as key opposition support for his economic plan was about to buckle.,"Президент закликав своїх міністрів застежити, оскільки основна опозиційна підтримка його економічного плану було про пряжку. ","The President urged his ministers to study, since the basic opposition support for his economic plan was about a buckle. "
6,The voters were chuffed to see the bill passed.,"Виборці були збиті, щоб побачити рахунок. ",Voters were beaten to see the account. 
7,The lawyer's discursive narration swayed the jury.,Дискурсивний розповідь адвоката вийшов журі. ,The lawyer's discursive narrative was the jury. 
8,The court enjoined the violence!,Суд затвердив насильство! ,The court approved violence! 
9,The EU block opposed an eventual imposition of anti-dumping measures.,Блок ЄС виступав проти можливого накладання антидемпінгових заходів. ,The EU unit opposed the possible imposition of anti-dumping events. 
10,A fulsome eulogy was delivered by the sly counsel.,Fulsome Eulogy була доставлена безладдям. ,Fulsome eulogy was delivered with a mess. 
11,The gig-economy agency decided to garnish the refunds!,Агентство GIG-економіки вирішило прикрасити відшкодування! ,The Gig-economy agency decided to decorate the refund! 
12,Members of the anti-theocratic revolutionary movement overthrew the peers in power!,Члени антиетократичного революційного руху скинули однолітки в владі! ,Members of the anti-ethocratic revolutionary movement dropped peers in power! 
13,The traitors disappointingly decided to fight with the colonialists.,Зрадники розчаровують вирішили боротися з колонізаторами. ,Traitors are disappointed decided to fight colonials. 
