,sentence,Vietnamese,backtrans
0,The war cry for justice was all over - Much to the chagrin of the authorities.,Cuộc chiến khóc cho công lý đã kết thúc với sự thất vọng của các cơ quan chức năng. ,The war cried for justice ended with the frustration of the authorities. 
1,The regime's decision adumbrates the underlying agenda.,Quyết định của chế độ Adumbrates chương trình nghị sự cơ bản. ,Decision of Adumbrates mode Basic agenda. 
2,The community was anxious over the passing of the much needed reforms.,Cộng đồng đã lo lắng về việc thông qua những cải cách rất cần thiết. ,The community has been worried about through very necessary reforms. 
3,The think tank  published a paper outlining their apology of capital punishment.,Tank Think đã xuất bản một bài báo phác thảo lời xin lỗi của hình phạt tử hình của họ. ,Tank Think published an article outlining the apology of their death penalty. 
4,Aught was left of the petition's validity,Aught còn lại về hiệu lực của bản kiến nghị ,The remaining Aight is on the effectiveness of the petition 
5,The President exhorted his ministers to buckle up as key opposition support for his economic plan was about to buckle.,Tổng thống khuyến khích các bộ trưởng của mình bị khóa như hỗ trợ phản đối chính cho kế hoạch kinh tế của mình là về khóa. ,The President encouraged its ministers to be locked as the main protest support for his economic plan was about locking. 
6,The voters were chuffed to see the bill passed.,Các cử tri đã bị xọc để thấy dự luật được thông qua. ,Voters have been taken to see the bill adopted. 
7,The lawyer's discursive narration swayed the jury.,Tường thuật phân biệt luật sư lắc lư bồi thẩm đoàn. ,Narration distinguishes a lawyer to shake the jury. 
8,The court enjoined the violence!,Tòa án đưa vào bạo lực! ,The court put into violence! 
9,The EU block opposed an eventual imposition of anti-dumping measures.,Khối EU phản đối một sự áp đặt cuối cùng các biện pháp chống bán phá giá. ,EU blocks oppose a final imposition of anti-dumping measures. 
10,A fulsome eulogy was delivered by the sly counsel.,Một eulogy Fulsome đã được giao bởi lời khuyên SLY. ,An Fulsome Eulogy was delivered by the Tips Sly. 
11,The gig-economy agency decided to garnish the refunds!,Cơ quan Kinh tế Gig quyết định trang trí hoàn lại tiền! ,Gig Economic Agency decides to decorate the refund! 
12,Members of the anti-theocratic revolutionary movement overthrew the peers in power!,Các thành viên của phong trào chống thần quyền thống trị đã lật đổ các đồng nghiệp trong quyền lực! ,Members of the anti-domination movement overthrow colleagues in power! 
13,The traitors disappointingly decided to fight with the colonialists.,Những kẻ phản bội đáng thất vọng quyết định chiến đấu với thực dân. ,Cretbents are disappointing deciding to fight colonialists. 
