,sentence,Xhosa,backtrans
0,The war cry for justice was all over - Much to the chagrin of the authorities.,Ukukhala kwemfazwe ngenxa yobulungisa kwakudlulile-mkhulu kwi-chargrin yabasemagunyeni. ,The cry of war because of righteousness was past - greater in the Chargrin. 
1,The regime's decision adumbrates the underlying agenda.,Isigqibo sikarhulumente esibonisa i-ajenda engaphantsi. ,The government's decision indicates the lower agenda. 
2,The community was anxious over the passing of the much needed reforms.,Uluntu lwalunexhala lokudlulisa utshintsho olufunekayo. ,The public was worried about passing the necessary changes. 
3,The think tank  published a paper outlining their apology of capital punishment.,Itanki elicinga ukuba ipakishwe iphepha elibonisa ukuxolisa kwabo isohlwayo semali. ,The tank that thinks it is packed paper showing their apology for money. 
4,Aught was left of the petition's validity,I-Act yayishiywe yinyani yoxwebhu lwezikhalazo ,ACT was left for the true of the petition document 
5,The President exhorted his ministers to buckle up as key opposition support for his economic plan was about to buckle.,UMongameli wabongoza abaphathiswa bakhe ukuba babhangise njengenkxaso ephambili yenkcaso yesicwangciso soqoqosho esasiza kuba sebumbani. ,The president urged his Ministers to repeal as a primary support for the opposition of the economic strategy. 
6,The voters were chuffed to see the bill passed.,Abavoti bagxothwa ukuze baphumelele iBhili. ,The voters were expelled to win the Bill. 
7,The lawyer's discursive narration swayed the jury.,Ibali lemigxala-mthetho eliqengqelekayo liyityhutyha ijaji. ,The story of rolling legislature goes through the judge. 
8,The court enjoined the violence!,Inkundla iyalela ubundlobongela! ,The court order violence! 
9,The EU block opposed an eventual imposition of anti-dumping measures.,Ibhloko ye-EU ichasile ukuguqula imilinganiselo yokulahla inkunkuma. ,The EU block opposed to convert the disposal measures. 
10,A fulsome eulogy was delivered by the sly counsel.,I-Eulogy ihanjisiwe sisiluleko se-sly. ,The eulogy has been delivered by SLY. 
11,The gig-economy agency decided to garnish the refunds!,I-arhente yoqoqosho lwe-gig igqibe kwelokuba ihombise imbuyiselo! ,The Gig Economic Agency has decided to decorate the refund! 
12,Members of the anti-theocratic revolutionary movement overthrew the peers in power!,Amalungu enkululeko yokuhlaselwa ngokuchasene nobuthixo abhukuqa oontanga ngamandla! ,Members of the freedom of attack against god-in-law overthrowing peers. 
13,The traitors disappointingly decided to fight with the colonialists.,Abahambi ngefreyitha bagqiba ekubeni balwe namakoloniyali. ,The range of frames decided to fight colonialists. 
