,sentence,Yiddish,backtrans
0,The war cry for justice was all over - Much to the chagrin of the authorities.,די מלחמה געשריי פֿאַר גערעכטיקייט איז געווען אַלע איבער - פיל צו די פאַרדראָס פון די אויטאריטעטן. ,The war cry for justice was all over - much to the priorities of the authorities. 
1,The regime's decision adumbrates the underlying agenda.,דער באַשלוס פון דער רעזשים אַדומבראַטעס די אַנדערלייינג אַגענדאַ. ,The decision of the regime embreates the underlying agenda. 
2,The community was anxious over the passing of the much needed reforms.,די קהל איז געווען באַזאָרגט איבער די פּאַסינג פון די פיל נידז רעפאָרמירט. ,The community was worried over the passing of the much needed reformed. 
3,The think tank  published a paper outlining their apology of capital punishment.,די טראַכטן טאַנק ארויס אַ פּאַפּיר אַוטליינינג זייער אַנטשולדיקונג פון קאַפּיטאַל שטראָף. ,The think tank issued a paper outlining their apology from capital punishment. 
4,Aught was left of the petition's validity,ענטפער איז לינקס פון די גילטיקייט פון די פּעטיציע ,Answer is left of the validity of the petition 
5,The President exhorted his ministers to buckle up as key opposition support for his economic plan was about to buckle.,דער פרעזידענט ubluorted זיין באדינער צו בלעכע אַרויף ווי שליסל אָפּאָזיציע שטיצן פֿאַר זיין עקאָנאָמיש פּלאַן איז געווען וועגן צו בלעכע. ,The president ubluorted his ministers to buckle up how key opposition support for his economic plan was about to buckle. 
6,The voters were chuffed to see the bill passed.,די וואָטערס זענען טשאַפט צו זען די רעכענונג דורכגעגאנגען. ,The voters are grush to see the bill passed. 
7,The lawyer's discursive narration swayed the jury.,דער דיסקורסיווע פון די אַדוואָקאַט פון די דיסקורסיווע נעריישאַן סווייד די זשורי. ,The discursive of the attorney of the discursive narration swayed the jury. 
8,The court enjoined the violence!,דער הויף ינדזשויד די גוואַלד! ,The court enjoyed the violence! 
9,The EU block opposed an eventual imposition of anti-dumping measures.,די אי.יו. פאַרשפּאַרן קעגן אַן עווענטואַל ימפּאַזישאַן פון אַנטי-דאַמפּינג מיטלען. ,The EU Block against an eventual imposition of anti-dumping measures. 
10,A fulsome eulogy was delivered by the sly counsel.,א פולזאַם יולאָגי איז געווען איבערגעגעבן דורך די כיטרע אַדוואָקאַט. ,A complete Yulogy was delivered by the arch lawyer. 
11,The gig-economy agency decided to garnish the refunds!,די גיג-עקאנאמיע אַגענטור באַשלאָסן צו גאַרניש די ריפאַנדז! ,The Gig-economy agency decided to garnish the refunds! 
12,Members of the anti-theocratic revolutionary movement overthrew the peers in power!,מיטגליוטאָוטיק מיטגליוטיאָנאַרי באַוועגונג אָוווערטראָו די פּירז אין מאַכט! ,Maxutic Memationary movement overthrow the peers in power! 
13,The traitors disappointingly decided to fight with the colonialists.,די טרייטערז דיסאַפּערינגלי באַשלאָסן צו קעמפן מיט די קאָלאָניאַליסץ. ,The traitors are disapprisingly decided to fight with the colonialists. 
