,sentence,Yoruba,backtrans
0,The war cry for justice was all over - Much to the chagrin of the authorities.,Awọn igbe ogun fun ododo ni o kọja - pupọ si Chagri ti awọn alase. ,The battle for righteousness is past - very much to the chagri of the authorities. 
1,The regime's decision adumbrates the underlying agenda.,Ipinnu ijọba ti o tẹgun awọn paati ti abẹtẹlẹ. ,The decision of the government he won the components of bribe. 
2,The community was anxious over the passing of the much needed reforms.,Agbegbe naa ni aniyan lori gbigboti ti awọn atunṣe ti o nilo pupọ. ,The area was intention on the folly of adjustments you need. 
3,The think tank  published a paper outlining their apology of capital punishment.,Ilẹ naa tumọ iwe ti a tẹjade iwe kan ti o ni itẹwọgba igbagbọ nla ti ijiya nla. ,The land means a book that is published a large belief of great suffering. 
4,Aught was left of the petition's validity,Aurut ti wa ni osi ti iwe afọwọkọ ,Aurut is left of the manuscript 
5,The President exhorted his ministers to buckle up as key opposition support for his economic plan was about to buckle.,Alakoso ṣe gba awọn minisita niyanju bi o ṣe n pese bi atilẹyin pataki fun eto aje rẹ ti fẹrẹ pari. ,Phase do advised ministers as it provides as an important support for your economy is about to end. 
6,The voters were chuffed to see the bill passed.,Awọn oludibo ṣiṣẹ lati wo owo naa ti kọja. ,Voters work to see the money passed. 
7,The lawyer's discursive narration swayed the jury.,Awọn asọye asọtẹlẹ ti agbẹjọro nwaye awọn imomopaniyan. ,Predictable definition of the manager. 
8,The court enjoined the violence!,Ile-ẹjọ Ẹjọ naa ni iwa-ipa! ,The case court is violent! 
9,The EU block opposed an eventual imposition of anti-dumping measures.,Dina EU tako apọju iṣẹlẹ iṣẹlẹ ti awọn ọna egboogi. ,Blocked the EU contradicts the event incapable of antibiotics. 
10,A fulsome eulogy was delivered by the sly counsel.,Ti fi eULOGROGE FULSOGRORST nipasẹ imọran ti Sly. ,The Fulgrorst Esogrorest by Sly's advice. 
11,The gig-economy agency decided to garnish the refunds!,Ile-iṣẹ GI-ọrọ ti pinnu lati garnish awọn agbapada! ,Garnish Company intended to garnish refund! 
12,Members of the anti-theocratic revolutionary movement overthrew the peers in power!,Awọn ọmọ ẹgbẹ ti Anti Rogbodiyan Anti-Opocatira waye awọn ẹlẹgbẹ ni agbara! ,Anti-Vocatira Conflicts Anticatorira held peerets in power! 
13,The traitors disappointingly decided to fight with the colonialists.,Awọn alagbata naa pinnu lati ja pẹlu awọn amunisin. ,The brokers intend to fight with colonies. 
