,sentence,Chinese_Traditional,backtrans
0,The war cry for justice was all over - Much to the chagrin of the authorities.,正義的戰爭哭泣是對當局的chagrin來說。 ,The war of justice is crying for the CHAGRIN of the authorities. 
1,The regime's decision adumbrates the underlying agenda.,該制度的決定使潛在的議程犯罪。 ,The system decided to make potential agenda crimes. 
2,The community was anxious over the passing of the much needed reforms.,社區對急需改革的傳遞感到焦慮。 ,The community is anxious about the transfer of urgently needed reform. 
3,The think tank  published a paper outlining their apology of capital punishment.,智庫發表了一篇論文，概述了他們道歉的資本懲罰。 ,The wisk is published in a papers and outlined the capital punishment of their apologies. 
4,Aught was left of the petition's validity,aught留下了請願的有效性 ,AUGHT has left the validity of petition 
5,The President exhorted his ministers to buckle up as key opposition support for his economic plan was about to buckle.,總統勸告他的部長扣除作為對其經濟計劃的主要反對支持即將扣發。 ,The president advised his ministers to deduct the main object of support for its economic plan. 
6,The voters were chuffed to see the bill passed.,選民被淘汰，看看截至通過。 ,Voters were eliminated and saw as of the pass. 
7,The lawyer's discursive narration swayed the jury.,律師的話語敘述搖曳了陪審團。 ,The discourse of lawyers swayed the jury. 
8,he court enjoined the violence!,他法院禁止暴力！ ,His court banned violence! 
9,The EU block opposed an eventual imposition of anti-dumping measures.,歐盟塊反對最終徵收反傾銷措施。 ,EU blocks oppose ultimately levy anti-dumping measures. 
10,A fulsome eulogy was delivered by the sly counsel.,一位富有律師的富豪悼詞。 ,A lawyer who is rich. 
11,The gig-economy agency decided to garnish the refunds!,GIG經濟機構決定裝修退款！ ,GIG economic institution decided to decorate refund! 
12,Members of the anti-theocratic revolutionary movement overthrew the peers in power!,反科學革命運動的成員推翻了積極的同伴！ ,Members of the anti-science revolutionary movement overturned a positive companion! 
13,The traitors disappointingly decided to fight with the colonialists.,叛徒令人失望地決定與殖民主義者戰鬥。 ,The traitor disappoints decided to fight with colonialists. 
