,sentence,Zulu,backtrans
0,The war cry for justice was all over - Much to the chagrin of the authorities.,Impi ekhala ngezobulungiswa yayisiphelile - kakhulu ku-chagrin yeziphathimandla. ,The battle crying in the justice was over - very much in the Chagrin of the authorities. 
1,The regime's decision adumbrates the underlying agenda.,Isinqumo seRegime sisusa i-ajenda eyisisekelo. ,The Reginator resolution removes basic agenda. 
2,The community was anxious over the passing of the much needed reforms.,Umphakathi wawukhathazekile ngokudlula kwezinguquko ezidingeka kakhulu. ,The community was worried about the passage of the most needed changes. 
3,The think tank  published a paper outlining their apology of capital punishment.,Ithangi lokucabanga lishicilele iphepha elichaza ukuxolisa kwabo kokujeziswa kwemali. ,The thought tank has published the paper that describes their apology for punishment. 
4,Aught was left of the petition's validity,I-AUGHT yashiywe ngokufaneleka kwezikhalazo ,Aight was left with the relevant complaints 
5,The President exhorted his ministers to buckle up as key opposition support for his economic plan was about to buckle.,UMongameli wanxusa abefundisi bakhe ukuba bahlangane njengoba ukusekelwa okuphikisayo okubalulekile kohlelo lwakhe lwezomnotho lwaluzoqala ukugoqa. ,The President urged his ministers to meet as an important opposition of his economic system would begin to roll. 
6,The voters were chuffed to see the bill passed.,Abavoti bahlungwa ukubona uMthethosivivinywa udlule. ,Voters were filtered to see the Bill pass. 
7,The lawyer's discursive narration swayed the jury.,Ukulandisa kommeli kudonswa ijaji. ,A lawyer's account is deducted. 
8,The court enjoined the violence!,Inkantolo inikeze ubudlova! ,The court gave Violi! 
9,The EU block opposed an eventual imposition of anti-dumping measures.,I-EU block yamelana nokufakwa kokugcina kwezindlela zokulahla imfucumfucu. ,EU BLOCK resisted the final submission of debris. 
10,A fulsome eulogy was delivered by the sly counsel.,U-Eulogy we-Fulsome walethwa yiseluleko se-sly. ,Fulsome eology was brought by Sly advice. 
11,The gig-economy agency decided to garnish the refunds!,I-GIG-Economy Agency inhlotha ukuhlobisa ukubuyiselwa kwemali! ,Gig-Economy Agency Dress decorate refunds! 
12,Members of the anti-theocratic revolutionary movement overthrew the peers in power!,Amalungu enhlangano evamile yokuguqula izinguquko achitha ontanga emandleni! ,Members of the common organization of converting changes to peers in power! 
13,The traitors disappointingly decided to fight with the colonialists.,Abahlaseli badangale ngokudumaza ukulwa namakoloni. ,The invaders have discouraged by disappointing fights with the colonies. 
